device mps | source (2592, 17, 1000, 9) (9 domains) -> target (3680, 17, 1000, 9)
network B7 | train 2052 val 540 | batch 36
  epoch   1/200  loss 1.1859  src-val 54.07%  (best 54.07 @ 1)  44s
  epoch   2/200  loss 1.0253  src-val 80.00%  (best 80.00 @ 2)  86s
  epoch   3/200  loss 0.8606  src-val 84.81%  (best 84.81 @ 3)  129s
  epoch   4/200  loss 0.7623  src-val 85.74%  (best 85.74 @ 4)  171s
  epoch   5/200  loss 0.7228  src-val 86.48%  (best 86.48 @ 5)  214s
  epoch   6/200  loss 0.6859  src-val 87.41%  (best 87.41 @ 6)  256s
  epoch   7/200  loss 0.6858  src-val 87.78%  (best 87.78 @ 7)  298s
  epoch   8/200  loss 0.6586  src-val 87.59%  (best 87.78 @ 7)  341s
  epoch   9/200  loss 0.6521  src-val 87.59%  (best 87.78 @ 7)  383s
  epoch  10/200  loss 0.6475  src-val 87.59%  (best 87.78 @ 7)  425s
  epoch  11/200  loss 0.6408  src-val 87.96%  (best 87.96 @ 11)  468s
  epoch  12/200  loss 0.6300  src-val 87.96%  (best 87.96 @ 11)  510s
  epoch  13/200  loss 0.6432  src-val 88.33%  (best 88.33 @ 13)  555s
  epoch  14/200  loss 0.6200  src-val 88.89%  (best 88.89 @ 14)  599s
  epoch  15/200  loss 0.6264  src-val 89.26%  (best 89.26 @ 15)  644s
  epoch  16/200  loss 0.6312  src-val 89.07%  (best 89.26 @ 15)  691s
  epoch  17/200  loss 0.6211  src-val 89.07%  (best 89.26 @ 15)  736s
  epoch  18/200  loss 0.6084  src-val 89.26%  (best 89.26 @ 15)  780s
  epoch  19/200  loss 0.6182  src-val 89.07%  (best 89.26 @ 15)  824s
  epoch  20/200  loss 0.6194  src-val 89.07%  (best 89.26 @ 15)  868s
  epoch  21/200  loss 0.6082  src-val 89.26%  (best 89.26 @ 15)  912s
  epoch  22/200  loss 0.6155  src-val 89.07%  (best 89.26 @ 15)  956s
  epoch  23/200  loss 0.5993  src-val 89.26%  (best 89.26 @ 15)  999s
  epoch  24/200  loss 0.6066  src-val 89.26%  (best 89.26 @ 15)  1042s
  epoch  25/200  loss 0.5963  src-val 89.26%  (best 89.26 @ 15)  1085s
  epoch  26/200  loss 0.5977  src-val 89.26%  (best 89.26 @ 15)  1128s
  epoch  27/200  loss 0.6059  src-val 89.07%  (best 89.26 @ 15)  1172s
  epoch  28/200  loss 0.6077  src-val 88.89%  (best 89.26 @ 15)  1215s
  epoch  29/200  loss 0.6039  src-val 88.89%  (best 89.26 @ 15)  1259s
  epoch  30/200  loss 0.5886  src-val 89.07%  (best 89.26 @ 15)  1304s
  epoch  31/200  loss 0.5916  src-val 89.26%  (best 89.26 @ 15)  1351s
  epoch  32/200  loss 0.5859  src-val 89.63%  (best 89.63 @ 32)  1397s
  epoch  33/200  loss 0.5904  src-val 89.63%  (best 89.63 @ 32)  1444s
  epoch  34/200  loss 0.5820  src-val 89.44%  (best 89.63 @ 32)  1490s
  epoch  35/200  loss 0.6162  src-val 89.44%  (best 89.63 @ 32)  1537s
  epoch  36/200  loss 0.6036  src-val 89.44%  (best 89.63 @ 32)  1586s
  epoch  37/200  loss 0.5868  src-val 89.44%  (best 89.63 @ 32)  1633s
  epoch  38/200  loss 0.5842  src-val 89.44%  (best 89.63 @ 32)  1680s
  epoch  39/200  loss 0.6016  src-val 89.44%  (best 89.63 @ 32)  1727s
  epoch  40/200  loss 0.5852  src-val 89.44%  (best 89.63 @ 32)  1773s
  epoch  41/200  loss 0.5834  src-val 89.44%  (best 89.63 @ 32)  1818s
  epoch  42/200  loss 0.5776  src-val 89.44%  (best 89.63 @ 32)  1861s
  epoch  43/200  loss 0.5733  src-val 89.44%  (best 89.63 @ 32)  1904s
  epoch  44/200  loss 0.5718  src-val 89.44%  (best 89.63 @ 32)  1948s
  epoch  45/200  loss 0.5758  src-val 89.44%  (best 89.63 @ 32)  1991s
  epoch  46/200  loss 0.5955  src-val 89.44%  (best 89.63 @ 32)  2035s
  epoch  47/200  loss 0.5895  src-val 89.63%  (best 89.63 @ 32)  2079s
  epoch  48/200  loss 0.5862  src-val 90.00%  (best 90.00 @ 48)  2127s
  epoch  49/200  loss 0.5748  src-val 90.00%  (best 90.00 @ 48)  2170s
  epoch  50/200  loss 0.5684  src-val 90.00%  (best 90.00 @ 48)  2214s
  epoch  51/200  loss 0.5709  src-val 90.00%  (best 90.00 @ 48)  2257s
  epoch  52/200  loss 0.5712  src-val 90.19%  (best 90.19 @ 52)  2301s
  epoch  53/200  loss 0.5965  src-val 90.19%  (best 90.19 @ 52)  2346s
  epoch  54/200  loss 0.5854  src-val 90.37%  (best 90.37 @ 54)  2392s
  epoch  55/200  loss 0.5798  src-val 90.37%  (best 90.37 @ 54)  2439s
  epoch  56/200  loss 0.5676  src-val 90.19%  (best 90.37 @ 54)  2487s
  epoch  57/200  loss 0.5666  src-val 90.00%  (best 90.37 @ 54)  2535s
  epoch  58/200  loss 0.5658  src-val 90.00%  (best 90.37 @ 54)  2583s
  epoch  59/200  loss 0.5609  src-val 90.00%  (best 90.37 @ 54)  2631s
  epoch  60/200  loss 0.5825  src-val 90.00%  (best 90.37 @ 54)  2678s
  epoch  61/200  loss 0.5718  src-val 90.00%  (best 90.37 @ 54)  2725s
  epoch  62/200  loss 0.5728  src-val 90.00%  (best 90.37 @ 54)  2772s
  epoch  63/200  loss 0.5617  src-val 90.00%  (best 90.37 @ 54)  2818s
  epoch  64/200  loss 0.5841  src-val 90.00%  (best 90.37 @ 54)  2861s
  epoch  65/200  loss 0.5803  src-val 89.81%  (best 90.37 @ 54)  2905s
  epoch  66/200  loss 0.5704  src-val 89.81%  (best 90.37 @ 54)  2949s
  epoch  67/200  loss 0.5621  src-val 89.81%  (best 90.37 @ 54)  2992s
  epoch  68/200  loss 0.5619  src-val 89.81%  (best 90.37 @ 54)  3035s
  epoch  69/200  loss 0.5611  src-val 89.81%  (best 90.37 @ 54)  3079s
  epoch  70/200  loss 0.5891  src-val 89.81%  (best 90.37 @ 54)  3122s
  epoch  71/200  loss 0.5673  src-val 89.81%  (best 90.37 @ 54)  3165s
  epoch  72/200  loss 0.5685  src-val 89.81%  (best 90.37 @ 54)  3208s
  epoch  73/200  loss 0.5627  src-val 89.81%  (best 90.37 @ 54)  3253s
  epoch  74/200  loss 0.5599  src-val 90.00%  (best 90.37 @ 54)  3299s
  epoch  75/200  loss 0.5598  src-val 90.00%  (best 90.37 @ 54)  3345s
  epoch  76/200  loss 0.5691  src-val 90.00%  (best 90.37 @ 54)  3393s
  epoch  77/200  loss 0.5800  src-val 90.00%  (best 90.37 @ 54)  3440s
  epoch  78/200  loss 0.5700  src-val 90.00%  (best 90.37 @ 54)  3487s
  epoch  79/200  loss 0.5590  src-val 90.19%  (best 90.37 @ 54)  3533s
  epoch  80/200  loss 0.5773  src-val 90.19%  (best 90.37 @ 54)  3580s
